shipment_id,date,origin,destination,distance_km,product_category,vehicle_type,packaging_quality,avg_speed_kmph,transit_duration_hr,ambient_temp_c,humidity_pct,effective_transit_temp_c,safe_temp_min_c,safe_temp_max_c,temp_excursion_hours,base_shelf_life_hr,remaining_shelf_life_hr,spoilage_risk
2955,2024-10-09,Ludhiana,Delhi,310,Bakery,Standard Truck,Standard,48.0,13.86,26.3,60,24.3,10,20,5.96,48,19.9,Low
2956,2024-06-13,Nashik,Mumbai,180,Milk & Dairy,Refrigerated Truck,Standard,38.1,7.04,26.6,88,14.4,2,8,4.53,48,33.9,Low
2957,2024-05-24,Indore,Bhopal,195,Bakery,Insulated Non-Refrigerated,Standard,50.9,10.65,35.6,35,29.5,10,20,10.12,48,19.8,Low
2958,2024-07-13,Jaipur,Delhi,280,Pharma (Vaccines),Insulated Non-Refrigerated,Standard,41.8,9.19,31.3,75,22.9,2,8,13.72,240,169.9,Low
2959,2024-08-26,Coimbatore,Kochi,190,Bakery,Standard Truck,Basic,44.0,8.52,28.1,78,26.9,10,20,5.92,48,36.1,Low
2960,2024-09-30,Ooty,Chennai,565,Pharma (Vaccines),Standard Truck,Standard,39.7,20.78,27.7,70,23.9,2,8,32.95,240,80.7,Medium
2961,2024-11-28,Kolkata,Patna,585,Pharma (Vaccines),Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),45.1,16.64,23.8,55,15.4,2,8,12.35,240,161.7,Low
2962,2024-07-02,Kolkata,Patna,585,Milk & Dairy,Refrigerated Truck,Premium (Insulated + Gel Packs),50.6,18.39,31.8,75,11.7,2,8,6.84,48,16.7,Medium
2963,2024-06-06,Kolkata,Patna,585,Seafood,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),48.6,13.61,34.8,60,19.0,0,4,20.35,36,0.0,High
2964,2024-05-13,Vijayawada,Chennai,440,Pharma (Vaccines),Standard Truck,Standard,38.5,16.18,29.4,84,28.0,2,8,32.29,240,126.9,Low
2965,2024-07-03,Guwahati,Kolkata,1000,Tomatoes & Produce,Standard Truck,Standard,54.5,20.3,29.4,75,29.0,10,15,28.46,168,92.3,Low
2966,2024-09-19,Ooty,Chennai,565,Frozen Goods,Refrigerated Truck,Standard,47.9,17.08,27.7,70,4.2,-20,-12,27.63,720,697.0,Low
2967,2024-09-11,Pune,Bengaluru,840,Frozen Goods,Refrigerated Truck,Standard,51.1,22.08,28.5,70,3.9,-20,-12,35.13,720,684.0,Low
2968,2024-08-26,Guwahati,Kolkata,1000,Bakery,Standard Truck,Premium (Insulated + Gel Packs),43.3,25.67,28.4,78,25.0,10,20,12.87,48,0.3,High
2969,2024-02-20,Kolkata,Patna,585,Leafy Greens,Refrigerated Truck,Premium (Insulated + Gel Packs),38.2,21.79,22.8,50,6.8,1,4,6.1,96,60.5,Low
2970,2024-08-28,Ahmedabad,Mumbai,525,Seafood,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),47.6,17.5,28.8,78,15.7,0,4,20.55,36,1.3,High
2971,2024-06-12,Ooty,Chennai,565,Frozen Goods,Insulated Non-Refrigerated,Basic,50.9,14.82,32.7,60,24.7,-20,-12,54.32,720,652.5,Low
2972,2024-04-14,Guwahati,Kolkata,1000,Frozen Goods,Insulated Non-Refrigerated,Standard,43.4,27.0,31.4,40,15.0,-20,-12,73.0,720,602.7,Low
2973,2024-07-08,Ludhiana,Delhi,310,Pharma (Vaccines),Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),46.9,10.15,30.3,75,18.3,2,8,10.41,240,230.6,Low
2974,2024-06-09,Kolkata,Patna,585,Poultry & Meat,Standard Truck,Basic,40.1,17.16,34.8,60,33.0,0,4,49.74,72,0.0,High
2975,2024-07-30,Ludhiana,Delhi,310,Seafood,Refrigerated Truck,Standard,44.7,13.5,30.3,75,15.0,0,4,14.89,36,1.4,High
2976,2024-01-24,Ooty,Chennai,565,Poultry & Meat,Insulated Non-Refrigerated,Standard,50.2,16.08,17.7,55,13.7,0,4,15.66,72,0.0,High
2977,2024-10-15,Guwahati,Kolkata,1000,Seafood,Standard Truck,Premium (Insulated + Gel Packs),42.1,30.91,25.4,60,23.7,0,4,60.78,36,0.3,High
2978,2024-04-23,Vijayawada,Chennai,440,Poultry & Meat,Refrigerated Truck,Standard,48.2,15.4,29.2,86,14.8,0,4,16.55,72,0.0,High
2979,2024-03-15,Pune,Bengaluru,840,Poultry & Meat,Standard Truck,Standard,39.1,23.14,26.5,45,24.1,0,4,46.48,72,6.3,High
2980,2024-01-09,Indore,Bhopal,195,Tomatoes & Produce,Refrigerated Truck,Premium (Insulated + Gel Packs),51.2,8.35,17.6,55,15.3,10,15,0.28,168,156.4,Low
2981,2024-05-13,Kolkata,Patna,585,Pharma (Vaccines),Refrigerated Truck,Basic,46.5,17.85,37.8,35,28.7,2,8,36.96,240,82.5,Medium
2982,2024-10-10,Vijayawada,Chennai,440,Seafood,Standard Truck,Standard,46.6,16.08,27.3,60,24.3,0,4,32.68,36,0.7,High
2983,2024-10-26,Indore,Bhopal,195,Poultry & Meat,Refrigerated Truck,Premium (Insulated + Gel Packs),51.4,6.68,25.6,60,7.3,0,4,2.22,72,58.9,Low
2984,2024-10-23,Nashik,Mumbai,180,Bakery,Refrigerated Truck,Standard,51.5,6.29,27.9,60,22.2,10,20,1.4,48,34.9,Low
2985,2024-08-01,Ooty,Chennai,565,Bakery,Standard Truck,Standard,45.5,18.31,28.7,78,26.1,10,20,11.09,48,15.8,Medium
2986,2024-05-31,Ludhiana,Delhi,310,Frozen Goods,Refrigerated Truck,Standard,49.1,8.39,36.3,35,9.1,-20,-12,17.75,720,645.7,Low
2987,2024-03-19,Ahmedabad,Mumbai,525,Frozen Goods,Refrigerated Truck,Basic,42.8,14.87,25.8,45,15.1,-20,-12,40.34,720,602.8,Low
2988,2024-04-10,Nagpur,Hyderabad,500,Tomatoes & Produce,Refrigerated Truck,Premium (Insulated + Gel Packs),53.6,11.67,33.1,40,16.8,10,15,2.13,168,162.3,Low
2989,2024-06-17,Ludhiana,Delhi,310,Poultry & Meat,Insulated Non-Refrigerated,Basic,41.5,10.75,33.3,60,29.5,0,4,27.46,72,0.5,High
2990,2024-04-27,Ahmedabad,Mumbai,525,Leafy Greens,Refrigerated Truck,Standard,54.4,12.34,31.8,40,13.3,1,4,11.48,96,51.7,Low
2991,2024-07-13,Guwahati,Kolkata,1000,Milk & Dairy,Standard Truck,Premium (Insulated + Gel Packs),41.8,28.46,29.0,82,26.1,2,8,51.59,48,0.0,High
2992,2024-10-18,Vijayawada,Chennai,440,Frozen Goods,Refrigerated Truck,Basic,51.2,11.23,27.3,60,18.3,-20,-12,34.09,720,687.0,Low
2993,2024-05-05,Pune,Bengaluru,840,Bakery,Refrigerated Truck,Standard,52.9,22.35,32.7,45,23.5,10,20,7.75,48,20.3,Low
2994,2024-09-12,Kolkata,Patna,585,Pharma (Vaccines),Refrigerated Truck,Standard,40.7,22.22,29.8,70,14.8,2,8,15.22,240,165.3,Low
2995,2024-10-08,Jaipur,Delhi,280,Bakery,Standard Truck,Standard,39.1,13.5,27.3,60,26.6,10,20,8.94,48,17.6,Medium
2996,2024-12-01,Ahmedabad,Mumbai,525,Leafy Greens,Standard Truck,Standard,39.9,17.47,23.0,52,18.3,1,4,24.97,96,25.1,Medium
2997,2024-12-16,Ooty,Chennai,565,Poultry & Meat,Standard Truck,Standard,40.8,16.47,17.7,55,13.0,0,4,14.8,72,17.4,Medium
2998,2024-06-21,Pune,Bengaluru,840,Poultry & Meat,Insulated Non-Refrigerated,Standard,53.7,17.9,33.5,60,24.8,0,4,37.16,72,0.0,High
2999,2024-05-11,Pune,Bengaluru,840,Leafy Greens,Refrigerated Truck,Basic,40.5,21.92,36.5,35,26.8,1,4,49.96,96,0.0,High
3000,2024-09-07,Indore,Bhopal,195,Frozen Goods,Refrigerated Truck,Premium (Insulated + Gel Packs),44.9,9.59,27.6,70,-8.7,-20,-12,3.14,720,700.7,Low
3001,2024-11-24,Nagpur,Hyderabad,500,Seafood,Standard Truck,Premium (Insulated + Gel Packs),47.1,16.47,23.1,55,18.8,0,4,24.43,36,0.1,High
3002,2024-09-08,Jaipur,Delhi,280,Tomatoes & Produce,Refrigerated Truck,Premium (Insulated + Gel Packs),43.5,10.4,29.3,70,14.3,10,15,0.0,168,160.2,Low
3003,2024-08-23,Ludhiana,Delhi,310,Bakery,Refrigerated Truck,Standard,43.4,11.83,29.3,78,21.4,10,20,1.66,48,31.8,Low
3004,2024-03-27,Pune,Bengaluru,840,Leafy Greens,Refrigerated Truck,Premium (Insulated + Gel Packs),40.5,23.36,26.5,45,6.3,1,4,5.36,96,65.7,Low
3005,2024-06-29,Coimbatore,Kochi,190,Pharma (Vaccines),Insulated Non-Refrigerated,Standard,45.9,9.41,32.1,60,23.6,2,8,14.65,240,179.0,Low
3006,2024-03-27,Jaipur,Delhi,280,Pharma (Vaccines),Standard Truck,Standard,46.1,9.8,27.3,45,25.9,2,8,17.54,240,162.8,Low
3007,2024-03-12,Nashik,Mumbai,180,Milk & Dairy,Insulated Non-Refrigerated,Basic,49.7,5.64,27.9,45,25.5,2,8,9.88,48,12.3,Medium
3008,2024-10-06,Jaipur,Delhi,280,Frozen Goods,Standard Truck,Basic,52.8,8.42,27.3,60,25.2,-20,-12,31.32,720,577.6,Low
3009,2024-09-07,Guwahati,Kolkata,1000,Poultry & Meat,Insulated Non-Refrigerated,Standard,52.5,26.58,27.4,70,19.9,0,4,42.32,72,8.8,High
3010,2024-04-04,Nashik,Mumbai,180,Tomatoes & Produce,Standard Truck,Standard,46.2,11.44,33.9,40,30.7,10,15,18.01,168,128.6,Low
3011,2024-10-04,Jaipur,Delhi,280,Bakery,Insulated Non-Refrigerated,Standard,53.7,6.76,27.3,60,25.5,10,20,3.7,48,39.1,Low
3012,2024-11-24,Coimbatore,Kochi,190,Poultry & Meat,Refrigerated Truck,Premium (Insulated + Gel Packs),40.9,11.61,21.3,78,5.7,0,4,2.01,72,51.8,Low
3013,2024-01-31,Pune,Bengaluru,840,Frozen Goods,Refrigerated Truck,Premium (Insulated + Gel Packs),39.3,26.2,18.5,55,-8.9,-20,-12,8.07,720,695.6,Low
3014,2024-09-25,Kolkata,Patna,585,Milk & Dairy,Refrigerated Truck,Basic,53.9,15.21,29.8,70,25.1,2,8,26.07,48,3.1,High
3015,2024-01-18,Guwahati,Kolkata,1000,Poultry & Meat,Insulated Non-Refrigerated,Standard,45.0,29.11,17.4,55,13.1,0,4,26.38,72,5.4,High
3016,2024-02-08,Coimbatore,Kochi,190,Frozen Goods,Standard Truck,Basic,53.0,8.14,20.1,50,18.2,-20,-12,24.64,720,756.6,Low
3017,2024-12-08,Nagpur,Hyderabad,500,Seafood,Refrigerated Truck,Standard,46.0,18.22,19.1,55,9.7,0,4,10.32,36,2.7,High
3018,2024-01-25,Nagpur,Hyderabad,500,Seafood,Refrigerated Truck,Premium (Insulated + Gel Packs),47.6,18.47,19.1,55,5.4,0,4,2.52,36,0.0,High
3019,2024-01-04,Kolkata,Patna,585,Pharma (Vaccines),Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),51.5,15.82,17.3,75,11.9,2,8,6.24,240,182.9,Low
3020,2024-07-30,Pune,Bengaluru,840,Milk & Dairy,Refrigerated Truck,Premium (Insulated + Gel Packs),44.7,24.93,30.5,75,9.6,2,8,3.97,48,13.7,Medium
3021,2024-03-11,Ludhiana,Delhi,310,Pharma (Vaccines),Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),44.0,9.12,26.3,45,16.8,2,8,8.06,240,221.7,Low
3022,2024-11-18,Vijayawada,Chennai,440,Leafy Greens,Insulated Non-Refrigerated,Standard,47.4,10.9,23.3,55,18.9,1,4,16.22,96,46.1,Low
3023,2024-04-28,Coimbatore,Kochi,190,Frozen Goods,Standard Truck,Premium (Insulated + Gel Packs),49.2,11.15,31.1,40,23.4,-20,-12,39.48,720,633.0,Low
3024,2024-02-04,Ahmedabad,Mumbai,525,Tomatoes & Produce,Standard Truck,Standard,45.8,17.97,20.8,50,20.0,10,15,9.01,168,133.6,Low
3025,2024-12-28,Kolkata,Patna,585,Frozen Goods,Refrigerated Truck,Basic,46.5,16.16,19.8,55,10.5,-20,-12,36.39,720,635.0,Low
3026,2024-03-18,Nagpur,Hyderabad,500,Poultry & Meat,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),49.1,15.1,27.1,45,14.7,0,4,16.19,72,0.0,High
3027,2024-01-05,Ooty,Chennai,565,Tomatoes & Produce,Standard Truck,Basic,42.6,19.82,17.7,55,16.7,10,15,3.4,168,151.5,Low
3028,2024-04-21,Indore,Bhopal,195,Poultry & Meat,Standard Truck,Premium (Insulated + Gel Packs),41.1,6.56,31.6,40,27.4,0,4,15.37,72,23.6,Medium
3029,2024-09-15,Nashik,Mumbai,180,Seafood,Refrigerated Truck,Basic,43.6,9.74,29.9,70,22.4,0,4,17.89,36,0.0,High
3030,2024-08-21,Nagpur,Hyderabad,500,Milk & Dairy,Refrigerated Truck,Standard,39.3,17.06,30.1,78,16.3,2,8,14.08,48,5.5,High
3031,2024-07-10,Ooty,Chennai,565,Milk & Dairy,Refrigerated Truck,Basic,38.8,18.1,29.7,75,22.2,2,8,25.78,48,0.0,High
3032,2024-01-31,Nagpur,Hyderabad,500,Tomatoes & Produce,Refrigerated Truck,Basic,45.2,16.01,19.1,55,19.0,10,15,6.38,168,138.5,Low
3033,2024-11-12,Nashik,Mumbai,180,Bakery,Standard Truck,Basic,54.1,11.25,23.9,55,19.8,10,20,0.0,48,42.2,Low
3034,2024-11-22,Ludhiana,Delhi,310,Bakery,Standard Truck,Basic,48.8,13.47,22.3,55,24.3,10,20,5.75,48,31.8,Low
3035,2024-12-07,Coimbatore,Kochi,190,Bakery,Refrigerated Truck,Standard,45.9,9.62,17.1,55,13.6,10,20,0.0,48,45.9,Low
3036,2024-11-11,Ooty,Chennai,565,Tomatoes & Produce,Standard Truck,Premium (Insulated + Gel Packs),42.7,17.88,21.7,55,20.0,10,15,8.96,168,139.4,Low
3037,2024-09-04,Kolkata,Patna,585,Seafood,Insulated Non-Refrigerated,Basic,54.3,17.76,29.8,70,25.9,0,4,38.9,36,0.0,High
3038,2024-12-03,Nagpur,Hyderabad,500,Bakery,Insulated Non-Refrigerated,Standard,47.7,17.34,24.9,81,21.0,10,20,1.71,48,23.5,Low
3039,2024-09-06,Ooty,Chennai,565,Tomatoes & Produce,Refrigerated Truck,Standard,39.0,21.9,27.7,70,16.0,10,15,2.1,168,138.2,Low
3040,2024-01-09,Guwahati,Kolkata,1000,Frozen Goods,Insulated Non-Refrigerated,Basic,46.6,26.16,17.4,55,12.8,-20,-12,64.92,720,605.1,Low
3041,2024-01-04,Ludhiana,Delhi,310,Poultry & Meat,Standard Truck,Basic,38.3,14.07,18.3,55,16.5,0,4,17.66,72,14.8,Medium
3042,2024-09-29,Nagpur,Hyderabad,500,Seafood,Insulated Non-Refrigerated,Standard,49.6,11.68,29.1,70,23.1,0,4,22.34,36,1.5,High
3043,2024-10-09,Coimbatore,Kochi,190,Leafy Greens,Standard Truck,Premium (Insulated + Gel Packs),46.6,10.49,25.1,60,20.2,1,4,17.01,96,42.6,Low
3044,2024-07-29,Ooty,Chennai,565,Leafy Greens,Standard Truck,Premium (Insulated + Gel Packs),40.7,20.86,29.7,75,24.9,1,4,43.65,96,3.5,High
3045,2024-01-07,Coimbatore,Kochi,190,Milk & Dairy,Refrigerated Truck,Standard,42.8,7.46,17.1,55,10.3,2,8,1.68,48,34.4,Low
3046,2024-01-09,Vijayawada,Chennai,440,Pharma (Vaccines),Standard Truck,Basic,40.1,17.54,19.3,55,17.6,2,8,16.89,240,162.6,Low
3047,2024-09-28,Nashik,Mumbai,180,Leafy Greens,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),51.3,5.29,29.9,70,19.1,1,4,8.01,96,76.2,Low
3048,2024-05-20,Coimbatore,Kochi,190,Poultry & Meat,Insulated Non-Refrigerated,Basic,50.5,4.87,35.1,35,30.0,0,4,12.68,72,28.9,Low
3049,2024-10-01,Pune,Bengaluru,840,Tomatoes & Produce,Insulated Non-Refrigerated,Standard,52.7,20.69,26.2,80,21.0,10,15,12.34,168,128.5,Low
3050,2024-05-26,Guwahati,Kolkata,1000,Poultry & Meat,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),42.1,29.0,35.4,35,19.0,0,4,43.41,72,2.2,High
3051,2024-01-09,Kolkata,Patna,585,Leafy Greens,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),41.2,21.08,19.8,55,12.3,1,4,17.42,96,30.6,Medium
3052,2024-09-14,Nagpur,Hyderabad,500,Bakery,Standard Truck,Basic,47.2,15.89,29.1,70,28.0,10,20,12.65,48,0.0,High
3053,2024-12-23,Pune,Bengaluru,840,Seafood,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),41.1,24.81,18.5,55,10.1,0,4,15.11,36,0.0,High
3054,2024-12-11,Nashik,Mumbai,180,Frozen Goods,Standard Truck,Premium (Insulated + Gel Packs),43.7,7.25,19.9,55,15.7,-20,-12,20.09,720,694.3,Low
3055,2024-08-08,Ooty,Chennai,565,Pharma (Vaccines),Refrigerated Truck,Standard,49.4,18.36,28.7,78,15.4,2,8,13.61,240,175.7,Low
3056,2024-04-01,Jaipur,Delhi,280,Poultry & Meat,Insulated Non-Refrigerated,Standard,50.6,8.6,33.3,40,22.8,0,4,16.14,72,48.1,Low
3057,2024-02-24,Pune,Bengaluru,840,Seafood,Standard Truck,Premium (Insulated + Gel Packs),40.0,24.31,21.5,50,18.9,0,4,36.11,36,2.0,High
3058,2024-02-19,Indore,Bhopal,195,Seafood,Refrigerated Truck,Standard,43.9,9.6,20.6,50,11.2,0,4,6.89,36,7.6,Medium
3059,2024-09-25,Ludhiana,Delhi,310,Bakery,Standard Truck,Basic,38.3,14.46,28.3,70,29.0,10,20,12.95,48,22.5,Low
3060,2024-03-17,Ludhiana,Delhi,310,Bakery,Insulated Non-Refrigerated,Standard,42.9,9.53,26.3,45,23.5,10,20,3.37,48,28.7,Low
3061,2024-05-03,Kolkata,Patna,585,Milk & Dairy,Refrigerated Truck,Premium (Insulated + Gel Packs),39.3,19.85,37.8,35,10.9,2,8,5.68,48,11.3,Medium
3062,2024-04-08,Nagpur,Hyderabad,500,Milk & Dairy,Standard Truck,Standard,39.9,17.95,30.8,35,26.6,2,8,33.3,48,0.0,High
3063,2024-11-13,Ahmedabad,Mumbai,525,Frozen Goods,Refrigerated Truck,Basic,53.3,14.13,25.7,59,16.2,-20,-12,39.9,720,755.4,Low
3064,2024-09-26,Kolkata,Patna,585,Seafood,Standard Truck,Standard,43.4,19.88,29.8,70,25.3,0,4,42.32,36,0.0,High
3065,2024-05-09,Ludhiana,Delhi,310,Tomatoes & Produce,Insulated Non-Refrigerated,Standard,54.3,9.92,36.3,35,30.0,10,15,14.83,168,134.2,Low
3066,2024-06-30,Pune,Bengaluru,840,Tomatoes & Produce,Standard Truck,Standard,52.9,18.0,33.5,60,29.9,10,15,26.74,168,109.5,Low
3067,2024-05-16,Kolkata,Patna,585,Pharma (Vaccines),Refrigerated Truck,Premium (Insulated + Gel Packs),48.3,13.97,37.8,35,14.0,2,8,8.32,240,200.2,Low
3068,2024-07-22,Coimbatore,Kochi,190,Bakery,Refrigerated Truck,Premium (Insulated + Gel Packs),51.9,6.31,29.1,75,18.3,10,20,0.0,48,46.9,Low
3069,2024-02-10,Kolkata,Patna,585,Tomatoes & Produce,Refrigerated Truck,Premium (Insulated + Gel Packs),39.9,20.64,22.8,50,13.8,10,15,0.0,168,161.2,Low
3070,2024-07-10,Ahmedabad,Mumbai,525,Frozen Goods,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),42.0,14.79,29.8,75,7.7,-20,-12,29.07,720,667.3,Low
3071,2024-07-26,Guwahati,Kolkata,1000,Tomatoes & Produce,Refrigerated Truck,Standard,45.3,24.72,29.4,75,20.2,10,15,12.75,168,135.3,Low
3072,2024-08-23,Vijayawada,Chennai,440,Tomatoes & Produce,Refrigerated Truck,Standard,52.6,9.43,29.1,80,21.2,10,15,5.88,168,150.8,Low
3073,2024-10-16,Ooty,Chennai,565,Frozen Goods,Standard Truck,Basic,54.8,13.07,25.7,60,20.6,-20,-12,42.65,720,709.5,Low
3074,2024-05-04,Ahmedabad,Mumbai,525,Seafood,Refrigerated Truck,Standard,50.7,18.3,35.8,35,17.0,0,4,23.84,36,4.1,High
3075,2024-12-22,Kolkata,Patna,585,Pharma (Vaccines),Refrigerated Truck,Premium (Insulated + Gel Packs),39.5,22.77,19.8,55,10.0,2,8,4.56,240,213.5,Low
3076,2024-04-25,Jaipur,Delhi,280,Tomatoes & Produce,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),54.0,7.35,30.9,19,19.9,10,15,3.64,168,153.5,Low
3077,2024-06-02,Guwahati,Kolkata,1000,Poultry & Meat,Insulated Non-Refrigerated,Basic,51.5,20.86,29.7,81,25.3,0,4,44.36,72,0.0,High
3078,2024-12-16,Nashik,Mumbai,180,Pharma (Vaccines),Insulated Non-Refrigerated,Standard,38.8,12.35,19.9,55,15.9,2,8,9.72,240,212.8,Low
3079,2024-02-11,Ludhiana,Delhi,310,Milk & Dairy,Insulated Non-Refrigerated,Standard,42.0,10.21,21.3,50,13.2,2,8,5.29,48,27.3,Low
3080,2024-11-30,Ooty,Chennai,565,Seafood,Refrigerated Truck,Premium (Insulated + Gel Packs),46.2,17.82,21.7,55,5.0,0,4,1.81,36,9.6,Medium
3081,2024-11-28,Jaipur,Delhi,280,Milk & Dairy,Refrigerated Truck,Standard,43.4,11.14,23.3,55,14.2,2,8,6.94,48,16.6,Medium
3082,2024-01-17,Pune,Bengaluru,840,Tomatoes & Produce,Refrigerated Truck,Standard,54.0,20.93,18.5,55,14.0,10,15,0.0,168,137.8,Low
3083,2024-02-17,Nagpur,Hyderabad,500,Tomatoes & Produce,Refrigerated Truck,Basic,39.8,19.67,22.1,50,16.6,10,15,3.15,168,140.5,Low
3084,2024-07-26,Ooty,Chennai,565,Frozen Goods,Standard Truck,Standard,53.4,11.74,28.5,62,22.5,-20,-12,40.47,720,662.1,Low
3085,2024-07-13,Ooty,Chennai,565,Frozen Goods,Insulated Non-Refrigerated,Basic,44.7,16.63,29.7,75,21.5,-20,-12,55.74,720,640.8,Low
3086,2024-07-12,Indore,Bhopal,195,Pharma (Vaccines),Insulated Non-Refrigerated,Basic,39.8,7.38,29.6,75,26.2,2,8,13.39,240,171.3,Low
3087,2024-10-09,Ludhiana,Delhi,310,Milk & Dairy,Refrigerated Truck,Standard,42.6,14.46,26.3,60,17.1,2,8,13.18,48,3.0,High
3088,2024-08-31,Indore,Bhopal,195,Frozen Goods,Refrigerated Truck,Standard,40.8,6.12,28.6,78,3.8,-20,-12,9.68,720,687.0,Low
3089,2024-01-29,Ahmedabad,Mumbai,525,Poultry & Meat,Standard Truck,Basic,50.8,14.95,17.8,55,15.6,0,4,17.3,72,11.9,Medium
3090,2024-11-22,Jaipur,Delhi,280,Milk & Dairy,Refrigerated Truck,Standard,49.2,9.96,23.3,55,14.0,2,8,6.0,48,32.8,Low
3091,2024-01-05,Guwahati,Kolkata,1000,Bakery,Insulated Non-Refrigerated,Standard,48.5,25.64,17.4,55,14.8,10,20,0.0,48,30.8,Low
3092,2024-12-25,Pune,Bengaluru,840,Frozen Goods,Insulated Non-Refrigerated,Basic,45.3,21.4,18.5,55,11.0,-20,-12,49.32,720,708.8,Low
3093,2024-03-28,Ahmedabad,Mumbai,525,Pharma (Vaccines),Refrigerated Truck,Basic,39.2,16.99,25.8,45,20.5,2,8,21.3,240,156.0,Low
3094,2024-02-12,Vijayawada,Chennai,440,Poultry & Meat,Standard Truck,Premium (Insulated + Gel Packs),39.3,18.92,22.3,50,18.4,0,4,27.24,72,18.3,Medium
3095,2024-09-12,Ahmedabad,Mumbai,525,Tomatoes & Produce,Refrigerated Truck,Standard,47.2,17.71,27.8,70,19.1,10,15,7.33,168,122.2,Low
3096,2024-08-10,Ooty,Chennai,565,Tomatoes & Produce,Standard Truck,Standard,38.8,20.05,28.7,78,26.5,10,15,23.07,168,109.4,Low
3097,2024-11-26,Nagpur,Hyderabad,500,Tomatoes & Produce,Refrigerated Truck,Premium (Insulated + Gel Packs),47.2,12.99,23.1,55,12.9,10,15,0.0,168,166.1,Low
3098,2024-06-18,Ludhiana,Delhi,310,Leafy Greens,Refrigerated Truck,Premium (Insulated + Gel Packs),45.9,8.8,33.3,60,8.0,1,4,3.53,96,84.7,Low
3099,2024-10-16,Ludhiana,Delhi,310,Seafood,Standard Truck,Premium (Insulated + Gel Packs),50.6,10.49,26.3,60,23.3,0,4,20.25,36,1.3,High
3100,2024-02-18,Vijayawada,Chennai,440,Bakery,Standard Truck,Basic,38.3,16.3,22.3,50,21.3,10,20,2.2,48,29.3,Low
3101,2024-09-27,Guwahati,Kolkata,1000,Leafy Greens,Refrigerated Truck,Basic,50.9,25.72,26.9,89,21.4,1,4,44.79,96,0.0,High
3102,2024-01-22,Coimbatore,Kochi,190,Tomatoes & Produce,Standard Truck,Standard,46.0,10.15,17.1,55,18.6,10,15,3.63,168,158.8,Low
3103,2024-04-27,Guwahati,Kolkata,1000,Poultry & Meat,Insulated Non-Refrigerated,Standard,43.8,30.34,31.6,66,21.2,0,4,52.24,72,2.0,High
3104,2024-04-18,Jaipur,Delhi,280,Tomatoes & Produce,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),41.5,13.87,33.3,40,24.8,10,15,13.58,168,126.8,Low
3105,2024-12-20,Vijayawada,Chennai,440,Milk & Dairy,Refrigerated Truck,Basic,43.6,11.52,19.3,55,13.3,2,8,6.12,48,22.7,Low
3106,2024-10-17,Ahmedabad,Mumbai,525,Pharma (Vaccines),Refrigerated Truck,Standard,45.7,17.89,29.2,82,16.5,2,8,15.28,240,174.4,Low
3107,2024-08-31,Nagpur,Hyderabad,500,Milk & Dairy,Refrigerated Truck,Standard,46.6,16.1,25.4,87,13.1,2,8,8.26,48,5.8,High
3108,2024-05-18,Pune,Bengaluru,840,Tomatoes & Produce,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),50.5,22.26,36.5,35,25.3,10,15,22.92,168,99.7,Low
3109,2024-01-24,Ahmedabad,Mumbai,525,Seafood,Standard Truck,Premium (Insulated + Gel Packs),45.6,12.93,22.0,40,19.0,0,4,19.34,36,0.6,High
3110,2024-02-08,Jaipur,Delhi,280,Milk & Dairy,Refrigerated Truck,Premium (Insulated + Gel Packs),52.0,11.35,22.3,50,7.8,2,8,0.0,48,33.7,Low
3111,2024-12-16,Pune,Bengaluru,840,Seafood,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),53.1,19.79,18.5,55,9.4,0,4,10.69,36,10.2,Medium
3112,2024-05-23,Kolkata,Patna,585,Tomatoes & Produce,Standard Truck,Basic,41.4,19.79,37.8,35,36.9,10,15,43.39,168,71.7,Low
3113,2024-10-05,Guwahati,Kolkata,1000,Tomatoes & Produce,Insulated Non-Refrigerated,Standard,52.1,26.75,25.4,60,19.6,10,15,12.4,168,109.8,Low
3114,2024-10-15,Guwahati,Kolkata,1000,Milk & Dairy,Refrigerated Truck,Standard,43.6,27.22,25.4,60,13.9,2,8,16.09,48,0.6,High
3115,2024-12-02,Vijayawada,Chennai,440,Pharma (Vaccines),Refrigerated Truck,Standard,52.0,12.61,19.3,55,9.9,2,8,2.39,240,212.6,Low
3116,2024-01-17,Ahmedabad,Mumbai,525,Seafood,Standard Truck,Premium (Insulated + Gel Packs),54.5,14.65,17.8,55,14.6,0,4,15.53,36,0.0,High
